ISIN Div Payout/ ISIN Growth	Net Asset Value
INF955L01IO7	0
INF955L01IR0	0
INF955L01IP4	0
INF955L01IU4	0
	
	
	
INF740K01OV8	10.7806
INF740K01OS4	38.2228
INF740K01OT2	12.0025
-	10.2505
INF740K01OX4	11.1740
INF740KA1NY0	10.2531
INF740K01581	11.9155
-	10.2505
INF740K01JW6	10.7201
INF740K01JY2	11.0588
INF740K01FR4	10.2523
INF740K01599	35.4978
	
	
	
INF090I01JL3	25.5650
INF090I01JJ7	14.0105
INF090I01ET7	25.3348
INF090I01ES9	13.5858
INF090I01VZ8	0.0000
INF090I01VX3	0.0000
INF090I01TK4	0.0000
INF090I01TL2	0.0000
INF090I01TI8	0.0000
INF090I01TJ6	0.0000
INF090I01TM0	0.0000
INF090I01TP3	0.0000
INF090I01TN8	0.0000
INF090I01VW5	0.0000
INF090I01TO6	0.0000
INF090I01VY1	0.0000
	
	
	
INF179KA1GC0	20.9361
INF179KA1FZ3	22.3789
INF179KA1I87	19.2784
INF179KA1I61	19.6175
INF179KA1GA4	10.6496
INF179KA1GD8	10.3197
	
	
	
INF917K01UL0	12.7124
INF917K01UH8	27.1033
INF917K01E29	11.1402
INF917K01UN6	11.9809
INF917K01130	25.3595
INF917K01114	10.3269
-	24.9535
	
	
	
INF109KB1AF0	10.3035
INF109KA1I27	15.7498
INF109KB1AD5	10.4846
INF109K01V00	29.8183
INF109K01V18	10.9750
INF109K01V34	11.5172
INF109KA1I19	14.6853
INF109K01GU4	27.3792
INF109K01GX8	10.5892
INF109K01GV2	10.8833
	
	
	
INF205K01J09	1801.2581
INF205K01I83	1787.9095
INF205K01I91	1238.1675
INF205K01I59	1638.4398
INF205K01I34	1638.9504
INF205K01I42	1203.6796
	
	
	
INF174K01MG5	21.3149
INF174K01DY7	25.652
INF174K01LZ7	28.3784
INF174K01EG2	11.1557
	
	
	
INF204K01FQ3	30.2135
INF204K01FT7	31.5114
INF204KB17P0	0.0000
INF204KB15P4	0.0000
INF204KB13Q7	0.0000
INF204KB11Q1	0.0000
INF204K01A74	32.8021
INF204KA1WV6	17.7600
INF204K01A82	13.5357
INF204KA1WT0	16.5743
INF204K01FR1	12.9532
INF204KB12L0	0.5342
INF204KB15L3	0.2893
INF204KB13L8	0.2477
INF204KB17L9	0.5036
INF204KB11M0	0.2763
INF204KB18L7	0.4333
INF204KB19L5	0.2405
INF204KB14P7	0.0000
INF204KB19P6	0.0000
INF204KB10Q3	0.0000
	
	
	
-	13.4299
INF200K01ST8	19.6987
INF200K01SV4	42.3292
-	13.1258
INF200K01685	39.6581
INF200K01693	17.9287
	
	
	
INF789F1ARG8	0
INF789F1ARK0	0
INF789F1ARF0	0
INF789F1ARI4	0
INF789F1ARM6	0
INF789F1ARD5	0
INF789F1ARR5	0
INF789F1ARV7	0
INF789F1ARQ7	0
INF789F1ART1	0
INF789F1ARX3	0
INF789F1ARO2	0
-	0
-	0
-	0
-	0
-	0
-	0
-	0
-	0
-	0
-	0
-	0
-	0
INF789F1AML9	0
INF789F1AMP0	0
INF789F1AMK1	0
INF789F1AMN5	0
INF789F1AMR6	0
INF789F1AMI5	0
INF789F1AMW6	0
INF789F1ANA0	0
INF789F1AMV8	0
INF789F1AMY2	0
INF789F1ANC6	0
INF789F1AMT2	0
INF789F1ANG7	2.6874
INF789F1ANR4	2.4018
INF789F1ANH5	1.7437
INF789F1ANL7	1.7035
INF789F1ANJ1	1.7067
INF789F1ANN3	1.6036
INF789F1ANE2	1.8964
INF789F1ANS2	1.6027
INF789F1ANW4	1.559
INF789F1ANU8	1.6108
INF789F1ANY0	1.4422
INF789F1ANP8	1.706
INF789F01QZ1	14.9487
INF789FB1U28	10.8275
INF789FB1U44	10.5909
